Breed,Gender,Age_time_of_death,Height,Weight,Likes,Skills
Dachshund,Male,13.9,8.58,24.53,likes_dogs_better_than_people,barks_like_hell
Doberman Pinscher,Male,10.7,26.79,90.85,likes_people_better_than_dogs,high_trainability
French Bulldog,Female,10.8,12.07,21.2,likes_people_better_than_dogs,no_special_skills
Labrador Retriever,Female,10.9,23.25,63.86,likes_everybody,high_trainability
Siberian Husky,Female,12.8,21.94,40.06,likes_everybody,barks_like_hell
American Bulldog,Female,10.7,22.3,68.08,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Male,13.2,21.31,57.85,likes_people_better_than_dogs,high_trainability
Australian Shepherd,Male,13.7,22.06,53.12,likes_people_better_than_dogs,high_trainability
Great Dane,Female,9.0,30.47,123.35,likes_dogs_better_than_people,no_special_skills
American Bulldog,Male,10.7,24.6,81.95,likes_dogs_better_than_people,no_special_skills
Great Dane,Male,8.0,31.17,154.1,likes_dogs_better_than_people,no_special_skills
Pug,Male,14.2,12.28,16.97,likes_people_better_than_dogs,no_special_skills
Chihuahua,Male,14.8,7.32,5.28,likes_dogs_better_than_people,barks_like_hell
Labrador Retriever,Male,11.3,23.07,72.01,likes_everybody,high_trainability
Pug,Female,13.9,11.5,16.94,likes_people_better_than_dogs,no_special_skills
Beagle,Male,12.0,14.94,17.85,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Female,11.2,27.04,71.71,likes_people_better_than_dogs,high_trainability
American Bulldog,Female,11.2,22.47,73.37,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Female,11.2,27.02,69.02,likes_people_better_than_dogs,high_trainability
American Bulldog,Female,10.6,21.66,64.76,likes_dogs_better_than_people,no_special_skills
Belgian Malinois,Male,15.0,25.07,66.44,likes_dogs_better_than_people,high_trainability
Beagle,Male,12.9,15.02,16.65,likes_dogs_better_than_people,no_special_skills
Giant Schnauzer,Female,13.3,26.18,63.29,likes_dogs_better_than_people,high_trainability
Australian Shepherd,Female,14.3,20.84,49.72,likes_people_better_than_dogs,high_trainability
Golden Retriever,Male,11.4,23.82,67.44,likes_everybody,high_trainability
Cocker Spaniel,Female,12.1,15.22,23.78,likes_everybody,no_special_skills
Australian Shepherd,Female,13.7,21.91,44.57,likes_people_better_than_dogs,high_trainability
Belgian Malinois,Male,14.8,24.78,71.31,likes_dogs_better_than_people,high_trainability
American Bulldog,Female,11.3,22.06,77.03,likes_dogs_better_than_people,no_special_skills
Chihuahua,Male,15.0,6.7,4.76,likes_dogs_better_than_people,barks_like_hell
Cocker Spaniel,Female,12.4,14.97,21.69,likes_everybody,no_special_skills
Rottweiler,Male,9.4,24.99,123.0,likes_dogs_better_than_people,high_trainability
Doberman Pinscher,Male,11.3,27.11,89.42,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Female,11.1,25.98,89.24,likes_dogs_better_than_people,no_special_skills
Pug,Male,14.2,11.27,16.27,likes_people_better_than_dogs,no_special_skills
Boxer,Male,10.5,24.1,73.32,likes_people_better_than_dogs,no_special_skills
Rhodesian Ridgeback,Female,11.5,25.75,70.0,likes_people_better_than_dogs,no_special_skills
Boston Terrier,Male,12.1,15.93,20.76,likes_people_better_than_dogs,no_special_skills
Australian Shepherd,Male,12.6,22.23,52.84,likes_people_better_than_dogs,high_trainability
Greyhound,Female,12.1,28.76,62.9,likes_dogs_better_than_people,no_special_skills
Rottweiler,Female,9.6,25.5,88.92,likes_dogs_better_than_people,high_trainability
Greyhound,Male,12.2,29.61,67.41,likes_dogs_better_than_people,no_special_skills
Great Dane,Male,8.3,31.48,159.94,likes_dogs_better_than_people,no_special_skills
Greyhound,Female,12.0,28.78,62.68,likes_dogs_better_than_people,no_special_skills
Border Collie,Female,13.3,20.67,40.35,likes_people_better_than_dogs,high_trainability
Barbet,Male,13.1,21.49,47.28,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Male,13.1,15.03,26.85,likes_everybody,no_special_skills
Beagle,Male,13.2,14.75,16.66,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Male,11.8,15.04,27.58,likes_everybody,no_special_skills
Giant Schnauzer,Male,13.3,26.75,74.25,likes_dogs_better_than_people,high_trainability
Greyhound,Female,12.1,28.97,62.58,likes_dogs_better_than_people,no_special_skills
Siberian Husky,Male,13.0,21.59,49.35,likes_everybody,barks_like_hell
Great Dane,Male,8.7,31.41,161.57,likes_dogs_better_than_people,no_special_skills
Beagle,Male,13.1,14.75,18.28,likes_dogs_better_than_people,no_special_skills
Siberian Husky,Female,13.0,22.03,43.06,likes_everybody,barks_like_hell
Giant Schnauzer,Male,13.9,26.78,75.26,likes_dogs_better_than_people,high_trainability
Great Dane,Female,8.9,31.31,121.29,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Female,11.4,26.96,80.71,likes_people_better_than_dogs,high_trainability
Great Dane,Male,8.9,30.54,163.13,likes_dogs_better_than_people,no_special_skills
Boston Terrier,Male,11.9,16.07,15.64,likes_people_better_than_dogs,no_special_skills
Pug,Female,13.9,10.54,16.33,likes_people_better_than_dogs,no_special_skills
Cocker Spaniel,Female,11.7,15.13,21.92,likes_everybody,no_special_skills
Tibetan Mastiff,Female,11.2,25.2,100.11,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Female,13.5,20.84,46.92,likes_people_better_than_dogs,high_trainability
Boston Terrier,Female,11.9,15.88,18.52,likes_people_better_than_dogs,no_special_skills
Dachshund,Male,15.1,8.59,25.59,likes_dogs_better_than_people,barks_like_hell
Great Dane,Male,8.2,30.4,165.77,likes_dogs_better_than_people,no_special_skills
Rhodesian Ridgeback,Male,10.5,25.92,85.0,likes_people_better_than_dogs,no_special_skills
Beagle,Male,14.3,15.0,16.53,likes_dogs_better_than_people,no_special_skills
French Bulldog,Female,11.3,11.83,23.8,likes_people_better_than_dogs,no_special_skills
Barbet,Male,12.8,21.81,41.78,likes_dogs_better_than_people,no_special_skills
Boxer,Male,11.3,24.3,70.29,likes_people_better_than_dogs,no_special_skills
Belgian Malinois,Male,14.6,25.55,68.02,likes_dogs_better_than_people,high_trainability
Great Dane,Male,8.6,30.77,152.96,likes_dogs_better_than_people,no_special_skills
Basset Hound,Male,12.4,12.78,55.98,likes_dogs_better_than_people,no_special_skills
Chihuahua,Male,14.9,6.51,4.55,likes_dogs_better_than_people,barks_like_hell
Cocker Spaniel,Male,13.2,15.05,27.15,likes_everybody,no_special_skills
Cocker Spaniel,Male,11.6,14.68,27.86,likes_everybody,no_special_skills
Labrador Retriever,Male,11.1,23.87,73.4,likes_everybody,high_trainability
Cocker Spaniel,Female,12.1,15.16,21.9,likes_everybody,no_special_skills
Border Collie,Male,14.4,20.53,41.69,likes_people_better_than_dogs,high_trainability
Doberman Pinscher,Male,10.7,26.84,87.45,likes_people_better_than_dogs,high_trainability
Golden Retriever,Female,11.3,23.46,62.32,likes_everybody,high_trainability
Belgian Malinois,Female,15.0,24.79,48.86,likes_dogs_better_than_people,high_trainability
Golden Retriever,Male,11.3,23.48,70.34,likes_everybody,high_trainability
Beagle,Male,12.3,15.18,16.63,likes_dogs_better_than_people,no_special_skills
Beagle,Female,12.7,13.91,22.74,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Male,11.6,14.79,27.35,likes_everybody,no_special_skills
Greyhound,Female,11.8,29.12,62.1,likes_dogs_better_than_people,no_special_skills
Belgian Malinois,Female,14.9,24.51,48.61,likes_dogs_better_than_people,high_trainability
Cocker Spaniel,Male,12.5,15.33,27.35,likes_everybody,no_special_skills
Australian Shepherd,Male,13.7,21.46,54.02,likes_people_better_than_dogs,high_trainability
Pug,Male,13.6,11.27,15.51,likes_people_better_than_dogs,no_special_skills
Doberman Pinscher,Female,10.9,26.85,74.29,likes_people_better_than_dogs,high_trainability
Siberian Husky,Female,13.1,22.33,43.58,likes_everybody,barks_like_hell
Cocker Spaniel,Female,11.0,15.25,22.63,likes_everybody,no_special_skills
Great Dane,Female,8.9,30.77,126.51,likes_dogs_better_than_people,no_special_skills
Cane Corso,Female,10.6,25.43,94.83,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Male,11.3,26.93,88.99,likes_people_better_than_dogs,high_trainability
Chihuahua,Male,14.9,6.7,5.23,likes_dogs_better_than_people,barks_like_hell
Boxer,Male,11.1,24.21,70.5,likes_people_better_than_dogs,no_special_skills
Cocker Spaniel,Female,11.9,14.96,23.83,likes_everybody,no_special_skills
Beagle,Female,13.2,13.41,26.98,likes_dogs_better_than_people,no_special_skills
Bloodhound,Male,11.3,25.88,92.6,likes_dogs_better_than_people,barks_like_hell
Beagle,Male,13.2,14.23,17.65,likes_dogs_better_than_people,no_special_skills
Barbet,Male,13.2,20.34,45.79,likes_dogs_better_than_people,no_special_skills
Great Dane,Male,8.4,30.78,161.73,likes_dogs_better_than_people,no_special_skills
French Bulldog,Female,10.5,11.43,22.24,likes_people_better_than_dogs,no_special_skills
Labrador Retriever,Male,10.7,23.83,71.3,likes_everybody,high_trainability
Great Dane,Female,7.1,31.53,126.69,likes_dogs_better_than_people,no_special_skills
Great Dane,Male,8.2,31.28,166.64,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Female,13.7,21.22,46.26,likes_people_better_than_dogs,high_trainability
Boston Terrier,Female,12.2,16.16,17.82,likes_people_better_than_dogs,no_special_skills
Bloodhound,Male,10.8,25.96,99.35,likes_dogs_better_than_people,barks_like_hell
Boxer,Male,11.0,23.62,73.83,likes_people_better_than_dogs,no_special_skills
French Bulldog,Female,11.0,12.28,22.79,likes_people_better_than_dogs,no_special_skills
Chihuahua,Male,15.0,6.58,5.02,likes_dogs_better_than_people,barks_like_hell
Siberian Husky,Male,12.6,22.36,51.82,likes_everybody,barks_like_hell
Bloodhound,Male,11.4,25.66,99.59,likes_dogs_better_than_people,barks_like_hell
Cane Corso,Male,10.9,26.02,104.9,likes_dogs_better_than_people,no_special_skills
Pug,Male,13.9,11.83,15.95,likes_people_better_than_dogs,no_special_skills
Belgian Malinois,Male,14.4,24.52,72.66,likes_dogs_better_than_people,high_trainability
Barbet,Female,13.2,21.39,55.3,likes_dogs_better_than_people,no_special_skills
Rhodesian Ridgeback,Female,11.5,26.31,70.0,likes_people_better_than_dogs,no_special_skills
Cane Corso,Female,9.6,26.28,96.48,likes_dogs_better_than_people,no_special_skills
Plott Hound,Male,13.4,23.12,54.96,likes_nobody,no_special_skills
Labrador Retriever,Female,10.9,23.41,63.47,likes_everybody,high_trainability
Great Dane,Male,8.4,31.11,159.33,likes_dogs_better_than_people,no_special_skills
Cane Corso,Male,11.2,26.24,106.65,likes_dogs_better_than_people,no_special_skills
Belgian Malinois,Female,14.5,24.71,47.42,likes_dogs_better_than_people,high_trainability
Boston Terrier,Male,12.3,16.59,19.97,likes_people_better_than_dogs,no_special_skills
Boxer,Female,10.8,23.84,54.54,likes_people_better_than_dogs,no_special_skills
Beagle,Female,12.8,13.88,26.89,likes_dogs_better_than_people,no_special_skills
Plott Hound,Female,13.0,23.05,52.99,likes_nobody,no_special_skills
French Bulldog,Female,11.1,12.07,22.81,likes_people_better_than_dogs,no_special_skills
Labrador Retriever,Female,11.2,23.61,59.61,likes_everybody,high_trainability
Siberian Husky,Female,12.8,22.2,43.33,likes_everybody,barks_like_hell
Bloodhound,Male,10.6,26.1,101.27,likes_dogs_better_than_people,barks_like_hell
French Bulldog,Male,10.8,11.99,24.8,likes_people_better_than_dogs,no_special_skills
Rhodesian Ridgeback,Female,11.0,26.36,70.0,likes_people_better_than_dogs,no_special_skills
Chihuahua,Male,15.3,6.1,4.76,likes_dogs_better_than_people,barks_like_hell
Tibetan Mastiff,Male,11.8,27.57,109.54,likes_dogs_better_than_people,no_special_skills
Beagle,Male,11.0,15.12,17.79,likes_dogs_better_than_people,no_special_skills
Tibetan Mastiff,Female,11.0,24.91,91.05,likes_dogs_better_than_people,no_special_skills
Tibetan Mastiff,Male,11.1,27.82,123.7,likes_dogs_better_than_people,no_special_skills
Dachshund,Male,13.8,8.54,26.18,likes_dogs_better_than_people,barks_like_hell
Rottweiler,Female,9.4,25.4,90.77,likes_dogs_better_than_people,high_trainability
Rottweiler,Male,9.5,25.09,118.04,likes_dogs_better_than_people,high_trainability
American Bulldog,Male,11.0,26.0,78.04,likes_dogs_better_than_people,no_special_skills
Belgian Malinois,Male,15.3,24.6,70.55,likes_dogs_better_than_people,high_trainability
Boxer,Male,10.8,23.79,74.95,likes_people_better_than_dogs,no_special_skills
Great Dane,Male,8.5,31.19,158.24,likes_dogs_better_than_people,no_special_skills
Boxer,Male,11.2,23.67,68.12,likes_people_better_than_dogs,no_special_skills
Giant Schnauzer,Male,13.3,26.01,74.5,likes_dogs_better_than_people,high_trainability
Giant Schnauzer,Female,13.6,26.84,65.79,likes_dogs_better_than_people,high_trainability
Dachshund,Male,11.9,8.32,17.39,likes_dogs_better_than_people,barks_like_hell
Great Dane,Male,8.3,31.57,162.59,likes_dogs_better_than_people,no_special_skills
Cane Corso,Male,10.5,25.98,104.21,likes_dogs_better_than_people,no_special_skills
Great Dane,Male,9.1,30.54,150.52,likes_dogs_better_than_people,no_special_skills
Barbet,Female,13.2,22.53,54.14,likes_dogs_better_than_people,no_special_skills
Siberian Husky,Female,13.0,22.35,40.54,likes_everybody,barks_like_hell
Australian Shepherd,Female,13.2,20.89,49.91,likes_people_better_than_dogs,high_trainability
Giant Schnauzer,Male,14.2,26.28,70.54,likes_dogs_better_than_people,high_trainability
Plott Hound,Female,13.0,22.69,48.67,likes_nobody,no_special_skills
Dachshund,Male,14.5,8.58,22.57,likes_dogs_better_than_people,barks_like_hell
Barbet,Female,12.5,21.6,44.66,likes_dogs_better_than_people,no_special_skills
Cane Corso,Female,10.6,25.6,89.75,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Male,14.0,22.08,53.81,likes_people_better_than_dogs,high_trainability
Greyhound,Female,12.3,29.12,61.56,likes_dogs_better_than_people,no_special_skills
Plott Hound,Female,13.4,20.51,51.06,likes_nobody,no_special_skills
Plott Hound,Female,13.6,21.27,49.06,likes_nobody,no_special_skills
Labrador Retriever,Male,11.0,24.28,68.7,likes_everybody,high_trainability
Doberman Pinscher,Male,10.8,27.38,78.29,likes_people_better_than_dogs,high_trainability
Greyhound,Female,11.7,29.24,62.97,likes_dogs_better_than_people,no_special_skills
Barbet,Male,13.7,23.68,48.19,likes_dogs_better_than_people,no_special_skills
Golden Retriever,Male,10.6,23.67,68.99,likes_everybody,high_trainability
Border Collie,Male,13.9,20.58,39.11,likes_people_better_than_dogs,high_trainability
Dachshund,Female,13.4,8.25,19.04,likes_dogs_better_than_people,barks_like_hell
Golden Retriever,Male,11.5,23.67,69.45,likes_everybody,high_trainability
Basset Hound,Female,12.6,12.37,54.09,likes_dogs_better_than_people,no_special_skills
Giant Schnauzer,Male,13.2,26.51,76.58,likes_dogs_better_than_people,high_trainability
Dachshund,Male,15.4,8.5,22.9,likes_dogs_better_than_people,barks_like_hell
Chihuahua,Female,14.4,6.94,5.15,likes_dogs_better_than_people,barks_like_hell
Basset Hound,Female,12.6,12.66,62.33,likes_dogs_better_than_people,no_special_skills
Rottweiler,Male,9.5,26.12,116.41,likes_dogs_better_than_people,high_trainability
Rhodesian Ridgeback,Female,11.4,25.4,70.0,likes_people_better_than_dogs,no_special_skills
American Bulldog,Female,11.1,21.56,67.66,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Male,11.4,14.98,25.77,likes_everybody,no_special_skills
Giant Schnauzer,Female,13.0,26.3,60.19,likes_dogs_better_than_people,high_trainability
Labrador Retriever,Male,11.5,23.49,73.14,likes_everybody,high_trainability
Boston Terrier,Male,11.5,16.4,17.63,likes_people_better_than_dogs,no_special_skills
Siberian Husky,Female,13.7,22.92,43.95,likes_everybody,barks_like_hell
Bloodhound,Male,11.1,26.2,104.81,likes_dogs_better_than_people,barks_like_hell
Chihuahua,Male,15.1,7.06,4.52,likes_dogs_better_than_people,barks_like_hell
Basset Hound,Male,12.8,13.77,52.09,likes_dogs_better_than_people,no_special_skills
Giant Schnauzer,Female,13.4,25.97,62.28,likes_dogs_better_than_people,high_trainability
Belgian Malinois,Female,14.6,25.03,51.02,likes_dogs_better_than_people,high_trainability
Chihuahua,Male,14.7,6.61,5.23,likes_dogs_better_than_people,barks_like_hell
Pug,Female,13.6,11.79,15.13,likes_people_better_than_dogs,no_special_skills
American Bulldog,Male,11.6,26.01,78.39,likes_dogs_better_than_people,no_special_skills
French Bulldog,Female,11.1,11.96,21.49,likes_people_better_than_dogs,no_special_skills
Basset Hound,Female,12.6,12.99,56.2,likes_dogs_better_than_people,no_special_skills
Great Dane,Female,8.0,31.6,130.1,likes_dogs_better_than_people,no_special_skills
American Bulldog,Male,11.1,25.01,89.62,likes_dogs_better_than_people,no_special_skills
Boxer,Male,10.7,24.29,74.14,likes_people_better_than_dogs,no_special_skills
Boston Terrier,Female,12.1,16.12,21.73,likes_people_better_than_dogs,no_special_skills
Barbet,Female,13.4,22.23,47.79,likes_dogs_better_than_people,no_special_skills
Boston Terrier,Male,12.0,16.2,17.95,likes_people_better_than_dogs,no_special_skills
Rhodesian Ridgeback,Male,11.3,26.2,85.0,likes_people_better_than_dogs,no_special_skills
Australian Shepherd,Female,13.4,21.87,41.97,likes_people_better_than_dogs,high_trainability
Australian Shepherd,Male,12.8,22.01,59.5,likes_people_better_than_dogs,high_trainability
Basset Hound,Female,12.7,12.03,47.8,likes_dogs_better_than_people,no_special_skills
Belgian Malinois,Male,14.6,24.54,69.96,likes_dogs_better_than_people,high_trainability
Doberman Pinscher,Female,10.8,26.91,67.29,likes_people_better_than_dogs,high_trainability
Greyhound,Female,12.2,28.88,63.41,likes_dogs_better_than_people,no_special_skills
Basset Hound,Male,12.6,12.76,54.11,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Male,13.1,22.71,59.55,likes_people_better_than_dogs,high_trainability
American Bulldog,Male,10.6,26.2,95.16,likes_dogs_better_than_people,no_special_skills
Beagle,Male,13.6,14.86,18.7,likes_dogs_better_than_people,no_special_skills
Boxer,Male,11.3,24.51,75.91,likes_people_better_than_dogs,no_special_skills
Plott Hound,Female,13.3,23.37,51.26,likes_nobody,no_special_skills
Boxer,Male,11.0,24.33,72.85,likes_people_better_than_dogs,no_special_skills
French Bulldog,Female,11.0,12.22,22.61,likes_people_better_than_dogs,no_special_skills
Siberian Husky,Male,13.1,22.65,52.59,likes_everybody,barks_like_hell
Labrador Retriever,Male,10.9,23.68,69.67,likes_everybody,high_trainability
Plott Hound,Female,12.7,22.32,44.24,likes_nobody,no_special_skills
Australian Shepherd,Female,13.2,21.26,47.82,likes_people_better_than_dogs,high_trainability
Boston Terrier,Male,12.0,16.04,18.02,likes_people_better_than_dogs,no_special_skills
Border Collie,Female,13.6,20.29,49.35,likes_people_better_than_dogs,high_trainability
Plott Hound,Male,12.7,21.61,53.53,likes_nobody,no_special_skills
Greyhound,Male,10.9,29.43,67.48,likes_dogs_better_than_people,no_special_skills
Great Dane,Male,8.0,30.63,162.31,likes_dogs_better_than_people,no_special_skills
Golden Retriever,Female,11.2,23.37,58.62,likes_everybody,high_trainability
Barbet,Female,12.9,21.73,56.42,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Male,11.6,27.29,80.34,likes_people_better_than_dogs,high_trainability
Cocker Spaniel,Male,12.5,15.09,27.23,likes_everybody,no_special_skills
Greyhound,Male,11.7,28.6,67.0,likes_dogs_better_than_people,no_special_skills
Greyhound,Male,11.4,29.08,67.68,likes_dogs_better_than_people,no_special_skills
Chihuahua,Female,15.3,7.78,5.9,likes_dogs_better_than_people,barks_like_hell
Siberian Husky,Male,13.1,22.75,54.95,likes_everybody,barks_like_hell
Pug,Male,14.0,11.72,16.51,likes_people_better_than_dogs,no_special_skills
Cane Corso,Female,10.3,26.52,89.28,likes_dogs_better_than_people,no_special_skills
Boxer,Female,11.3,23.57,59.26,likes_people_better_than_dogs,no_special_skills
Labrador Retriever,Male,11.2,23.55,74.27,likes_everybody,high_trainability
Boston Terrier,Female,12.0,15.75,21.23,likes_people_better_than_dogs,no_special_skills
Siberian Husky,Male,13.1,22.61,52.59,likes_everybody,barks_like_hell
Border Collie,Male,14.8,20.0,37.35,likes_people_better_than_dogs,high_trainability
Plott Hound,Female,13.2,23.39,51.73,likes_nobody,no_special_skills
Rhodesian Ridgeback,Male,11.1,25.84,85.0,likes_people_better_than_dogs,no_special_skills
French Bulldog,Female,11.1,11.98,21.18,likes_people_better_than_dogs,no_special_skills
Chihuahua,Male,14.0,6.81,5.26,likes_dogs_better_than_people,barks_like_hell
Australian Shepherd,Male,13.5,20.97,58.97,likes_people_better_than_dogs,high_trainability
Pug,Female,14.2,11.82,16.1,likes_people_better_than_dogs,no_special_skills
Bloodhound,Female,11.1,26.43,89.11,likes_dogs_better_than_people,barks_like_hell
